time,x,y,z,vx,vy,vz,wx,wy,wz,contact,current_angle,mount_z,mount_roll,phase
1.924999999999980949e+00,1.500263643507877276e-01,-1.993253671120574430e-02,1.440733270720657710e-01,-9.466998003574872075e-03,1.714269788285737450e-01,-1.312144733125222840e-01,8.835271249695018578e-03,5.165983762916185815e-04,1.551874401835798024e-05,0.000000000000000000e+00,2.360000000000006537e+01,1.993668821330591978e-01,-1.099902963488915031e+00,3.000000000000000000e+00
1.949999999999980416e+00,1.499740357892359599e-01,-2.006286140525420994e-02,1.440733651120741088e-01,-1.932053363551283418e-02,-1.694889874449768685e-01,-1.321162230535934123e-01,-8.741613244145561915e-03,9.547353099805524698e-04,2.847586456668440598e-05,0.000000000000000000e+00,2.410000000000007248e+01,1.993426059019786090e-01,-1.099831527339895754e+00,3.000000000000000000e+00
1.974999999999979883e+00,1.500387714930287719e-01,-1.994309026354846789e-02,1.440736722324700014e-01,4.355176757380591762e-02,1.791889368459035625e-01,-1.333635620585507942e-01,9.221509603742726949e-03,-2.292597769226128492e-03,-4.305310911647907248e-05,0.000000000000000000e+00,2.460000000000007958e+01,1.993183255111892482e-01,-1.099770247054699501e+00,3.000000000000000000e+00
1.999999999999979350e+00,1.499648654158962091e-01,-2.005502101487538838e-02,1.440738775100280367e-01,-6.595266284789906563e-02,-1.657521244392043680e-01,-1.338069239308089242e-01,-8.492541719131387404e-03,3.424012668089820161e-03,-1.849332774490139583e-05,0.000000000000000000e+00,2.510000000000008669e+01,1.992940389293805237e-01,-1.099719023722770528e+00,3.000000000000000000e+00
2.024999999999979039e+00,1.500549260704684140e-01,-1.994007044895730954e-02,1.440738565929910731e-01,7.488878846614067941e-02,1.512282889010119757e-01,-1.339683749140605507e-01,7.772470453648167715e-03,-3.788903888738836580e-03,5.487813313204396875e-05,0.000000000000000000e+00,2.560000000000009379e+01,1.992697437348598388e-01,-1.099677764622014386e+00,3.000000000000000000e+00
2.049999999999978506e+00,1.499476160669078462e-01,-2.005504039266619090e-02,1.440738019579581031e-01,-7.790108582461074960e-02,-1.560800601518167185e-01,-1.359850598738675254e-01,-8.070429464244186987e-03,3.938705959633854829e-03,5.758925561444017116e-05,0.000000000000000000e+00,2.610000000000010090e+01,1.992454458249705018e-01,-1.099646230368763744e+00,3.000000000000000000e+00
2.074999999999977973e+00,1.500639088314256464e-01,-1.994252469633341074e-02,1.440739325070469756e-01,7.473061950144314902e-02,1.615684586345544349e-01,-1.381189825457784515e-01,8.394350785537166640e-03,-3.783023497867331504e-03,6.120087624401665972e-05,0.000000000000000000e+00,2.660000000000010800e+01,1.992211596511573035e-01,-1.099624032700863285e+00,3.000000000000000000e+00
2.099999999999977440e+00,1.499493617625557440e-01,-2.005587148257544083e-02,1.440741963504847956e-01,-7.153924980424725133e-02,-1.785754371082269032e-01,-1.408025051369163338e-01,-9.252599515812720901e-03,3.690565702259376336e-03,-7.986917674270185808e-06,0.000000000000000000e+00,2.710000000000011511e+01,1.991969017916367379e-01,-1.099610750041864149e+00,3.000000000000000000e+00
2.124999999999976907e+00,1.500517746791635576e-01,-1.993753207924958346e-02,1.440747008961598408e-01,6.156533035484103300e-02,1.859809526848500427e-01,-1.424671787010427793e-01,9.600620818206326290e-03,-3.210817319632030403e-03,-2.853256541224028937e-05,0.000000000000000000e+00,2.760000000000012221e+01,1.991726843764249910e-01,-1.099606044565321961e+00,3.000000000000000000e+00
2.149999999999976374e+00,1.492263361673829003e-01,-1.796709832901849380e-02,1.436250630866542644e-01,-7.258535356920325476e+00,8.234602713596944623e-01,2.128381851284908421e+01,-1.579764395673525779e-01,4.228409866570485565e-01,-9.007193487921859310e-02,0.000000000000000000e+00,2.810000000000012932e+01,1.991515212264971524e-01,-1.099598233316707807e+00,4.000000000000000000e+00
2.174999999999975842e+00,1.466104537183497425e-01,-7.698267567624622609e-03,1.436488368613287048e-01,-6.897368962086125599e+00,-1.208431270473507180e+00,7.783052828678346025e+00,-8.952085555133616757e-02,4.110753336772688948e-01,2.018221699147042247e-02,0.000000000000000000e+00,2.885000000000012221e+01,1.991306338723209668e-01,-1.099583852219981672e+00,4.000000000000000000e+00
2.199999999999975309e+00,1.444194141935015996e-01,2.809849811053878252e-03,1.433787951210587774e-01,-7.460539214935190344e+00,-6.715723523212955293e-01,6.534618540806135023e+00,-8.886628636201150677e-02,4.281285179553731557e-01,-4.134066318126310147e-02,0.000000000000000000e+00,2.960000000000011511e+01,1.990990661360419189e-01,-1.099614197224229040e+00,4.000000000000000000e+00
2.224999999999974776e+00,1.420766580464167539e-01,1.388522484277420442e-02,1.407432154747840780e-01,-8.558008699084380666e+00,7.089839659391206084e-02,5.978887790747089426e+00,-9.736786065231911591e-02,4.534562989939826538e-01,-1.532444488885055522e-01,0.000000000000000000e+00,3.035000000000010800e+01,1.990641322802608471e-01,-1.099666924887047426e+00,4.000000000000000000e+00
2.249999999999974243e+00,1.428770235002796152e-01,2.381322612272119763e-02,1.466891236264179499e-01,1.007522247717173869e+01,5.633137958189394112e+01,3.897672173738909862e+01,5.603700435769496391e-01,1.442455796913410526e-01,2.189354887527006355e+00,0.000000000000000000e+00,3.095000000000010232e+01,1.990486361814982064e-01,-1.099245568435655684e+00,4.000000000000000000e+00
2.274999999999973710e+00,1.568862745897034172e-01,2.741936561500472533e-02,1.977442458145930726e-01,5.016836449833688505e+01,2.866003906480857211e+01,4.435861945082329783e+01,5.603700435769496391e-01,1.442455796913408861e-01,1.944104887527006387e+00,0.000000000000000000e+00,3.170000000000009521e+01,1.991496198667996875e-01,-1.097055149450973488e+00,4.000000000000000000e+00
2.299999999999973177e+00,1.708955256791272193e-01,3.102550510728823915e-02,2.426681180027682738e-01,7.800999832944006585e+01,2.090105027665885018e-01,8.232743892156069165e-02,5.603700435769498611e-01,1.442455796913404698e-01,1.698854887527006197e+00,0.000000000000000000e+00,3.245000000000008811e+01,1.991070878426020041e-01,-1.097380980583272825e+00,4.000000000000000000e+00
2.324999999999972644e+00,1.849047767685510213e-01,3.463164459957174951e-02,2.814607401909434148e-01,5.266104179420063502e+01,1.913804120539903764e+01,-6.429103265446423165e+01,5.603700435769499721e-01,1.442455796913404698e-01,1.453604887527006007e+00,0.000000000000000000e+00,3.320000000000008100e+01,1.989934343119194593e-01,-1.099068545251032258e+00,4.000000000000000000e+00
2.349999999999972111e+00,1.989140278579748233e-01,3.823778409185526334e-02,3.141221123791185788e-01,8.573559478263483413e+00,8.711815916803394089e+01,-3.764839647053985061e+01,5.603700435769498611e-01,1.442455796913403865e-01,1.208354887527005816e+00,0.000000000000000000e+00,3.395000000000007390e+01,1.988845888379182358e-01,-1.100620630818317291e+00,4.000000000000000000e+00
2.374999999999971578e+00,2.129232789473986254e-01,4.184392358413877716e-02,3.406522345672937102e-01,7.252027582579309239e+01,7.217969113306592988e+01,3.693142768352629446e+01,5.603700435769500832e-01,1.442455796913401922e-01,9.631048875270056264e-01,0.000000000000000000e+00,3.470000000000006679e+01,1.988255761120155118e-01,-1.101080103273329058e+00,4.000000000000000000e+00
2.399999999999971045e+00,2.269325300368224274e-01,4.545006307642229099e-02,3.610511067554688647e-01,9.237139329915670771e+01,4.952573509145865671e+01,-7.098602003754780299e+01,5.603700435769501942e-01,1.442455796913400257e-01,7.178548875270055474e-01,0.000000000000000000e+00,3.545000000000005969e+01,1.987920267176033762e-01,-1.100909702325827189e+00,4.000000000000000000e+00
2.424999999999970512e+00,2.409417811262462294e-01,4.905620256870580481e-02,3.753187289436439866e-01,7.221315090877040177e+01,1.302505441623407876e+02,1.504350530942693354e+01,5.603700435769501942e-01,1.442455796913399702e-01,4.726048875270054128e-01,0.000000000000000000e+00,3.620000000000005258e+01,1.988321621114273463e-01,-1.099941457301714998e+00,4.000000000000000000e+00
2.449999999999969980e+00,2.549510322156700037e-01,5.266234206098931864e-02,3.834551011318191316e-01,1.065306438843938395e+02,1.091384173795787831e+02,-9.414876387532154922e+01,5.603700435769501942e-01,1.442455796913400257e-01,2.273548875270055003e-01,0.000000000000000000e+00,3.695000000000004547e+01,1.988229522445343622e-01,-1.099713973194734518e+00,4.000000000000000000e+00
